,ocsvm,iforest
f1,"(0.059980857563429295, 0.0017201841158008188)","(0.039869370215072836, 0.0023257280256036117)"
precision,"(0.9251839464882943, 0.02391215731714252)","(0.9130110616734645, 0.03616323527503455)"
recall,"(0.030997876857749466, 0.0009388888295415134)","(0.02038216560509554, 0.0012175973484844474)"
