,ocsvm,iforest
f1,"(0.07001009124719362, 0.0031269014377365745)","(0.043668793313881064, 0.002032177354893289)"
precision,"(0.9328856239958572, 0.02877399249797462)","(0.9243575460487226, 0.028314053906970425)"
recall,"(0.036376503892427456, 0.0017102683614429678)","(0.022363765038924278, 0.0010592094513160477)"
