,ocsvm,iforest
f1,"(0.06814201493557713, 0.005994085551646938)","(0.04203013916547293, 0.004039534156252868)"
precision,"(0.9278383429819845, 0.018705813446471802)","(0.9178650742540445, 0.01893648648297167)"
recall,"(0.035385704175513094, 0.003258560349107245)","(0.021514508138711964, 0.002127855113711664)"
