,ocsvm,iforest
f1,"(0.0768469863873402, 0.003914252409222912)","(0.03632199338749868, 0.004046289555478457)"
precision,"(0.9490736861704605, 0.030874257382040415)","(0.9015595238095239, 0.037838502448877355)"
recall,"(0.04005661712668082, 0.0021744220093046296)","(0.01854210898796886, 0.0021184189026320975)"
